LEVELHP = [
	120, 
	121, 
	122, 
	123, 
	124, 
	125, 
	126, 
	127, 
	128, 
	129, 
	130, 
	131, 
	132, 
	133, 
	134, 
	135, 
	136, 
	137, 
	138, 
	139, 
	140, 
	141, 
	142, 
	143, 
	144, 
	145, 
	146, 
	147, 
	148, 
	149, 
	150, 
	151, 
	152, 
	153, 
	154, 
	155, 
	156, 
	157, 
	158, 
	159, 
	160, 
	161, 
	162, 
	163, 
	164, 
	165, 
	166, 
	167, 
	168, 
	169, 
	170, 
	171, 
	172, 
	173, 
	174, 
	175, 
	176, 
	177, 
	178, 
	179, 
	180, 
	181, 
	182, 
	183, 
	184, 
	185, 
	186, 
	187, 
	188, 
	189, 
	190, 
	191, 
	192, 
	193, 
	194, 
	195, 
	196, 
	197, 
	198, 
	199, 
	200, 
	201, 
	202, 
	203, 
	204, 
	205, 
	206, 
	207, 
	208, 
	209, 
	210, 
	211, 
	212, 
	213, 
	214, 
	215, 
	216, 
	217, 
	218, 
	219, 
]
LEVELXP = [
	0, 0, 
	25, 25, 
	50, 25, 
	75, 25, 
	105, 30, 
	135, 30, 
	165, 30, 
	215, 50, 
	295, 80, 
	395, 100, 
	525, 130, 
	655, 130, 
	785, 130, 
	915, 130, 
	1045, 130, 
	1175, 130, 
	1305, 130, 
	1435, 130, 
	1565, 130, 
	1695, 130, 
	1825, 130, 
	1955, 130, 
	2105, 150, 
	2265, 160, 
	2445, 180, 
	2635, 190, 
	2835, 200, 
	3075, 240, 
	3355, 280, 
	3655, 300, 
	4005, 350, 
	4405, 400, 
	4855, 450, 
	5355, 500, 
	5965, 610, 
	6685, 720, 
	7515, 830, 
	8615, 1100, 
	9815, 1200, 
	11015, 1200, 
	12515, 1500, 
	14015, 1500, 
	15715, 1700, 
	17415, 1700, 
	19115, 1700, 
	20915, 1800, 
	22915, 2000, 
	24915, 2000, 
	27115, 2200, 
	29315, 2200, 
	31615, 2300, 
	33915, 2300, 
	36215, 2300, 
